reward, time 
1, 7 
3, 8 
-1, 9 
-1, 9 
1, 10 
1, 11 
3, 12 
3, 13 
1, 14 
-1, 15 
-1, 16 
3, 17 
1, 18 
1, 19 
3, 20 
3, 21 
3, 22 
1, 23 
-1, 24 
1, 25 
-1, 26 
1, 27 
-1, 28 
-1, 29 
1, 30 
1, 31 
1, 32 
-1, 33 
-1, 34 
1, 35 
1, 35 
1, 37 
-1, 38 
1, 39 
1, 39 
1, 40 
1, 41 
1, 42 
-1, 43 
-1, 44 
1, 45 
1, 45 
-1, 46 
1, 47 
-1, 48 
1, 49 
1, 50 
-1, 51 
1, 52 
1, 52 
-1, 53 
1, 54 
1, 55 
-1, 56 
1, 57 
1, 58 
1, 59 
1, 60 
1, 61 
1, 62 
3, 62 
1, 63 
1, 64 
1, 65 
1, 66 
1, 67 
3, 68 
-1, 69 
1, 70 
1, 71 
3, 72 
-1, 73 
-1, 74 
-1, 75 
3, 76 
-1, 77 
1, 78 
-1, 79 
1, 80 
1, 81 
-1, 82 
1, 83 
1, 84 
-1, 85 
1, 86 
3, 87 
1, 88 
1, 94 
1, 95 
1, 96 
3, 97 
1, 98 
1, 99 
-1, 100 
3, 102 
3, 103 
-1, 104 
1, 105 
3, 106 
-1, 106 
1, 108 
1, 109 
1, 110 
1, 111 
1, 112 
1, 112 
1, 113 
1, 114 
1, 115 
1, 123 
1, 124 
1, 125 
-1, 126 
3, 127 
-1, 128 
1, 128 
3, 130 
1, 131 
1, 132 
-1, 133 
1, 134 
-1, 141 
1, 142 
3, 143 
1, 144 
1, 145 
1, 146 
-1, 147 
-1, 148 
1, 149 
1, 150 
-1, 151 
1, 152 
3, 153 
1, 154 
3, 155 
1, 156 
1, 157 
3, 159 
1, 159 
1, 161 
1, 162 
-1, 163 
-1, 164 
-1, 164 
-1, 166 
1, 167 
1, 168 
-1, 169 
3, 170 
-1, 170 
1, 172 
1, 172 
1, 173 
1, 174 
-1, 175 
3, 176 
1, 177 
-1, 178 
1, 179 
1, 180 
1, 181 
1, 182 
-1, 183 
1, 184 
3, 185 
1, 186 
-1, 187 
1, 188 
1, 190 
3, 191 
1, 192 
1, 192 
1, 193 
1, 194 
1, 195 
-1, 196 
-1, 197 
-1, 198 
1, 199 
1, 200 
-1, 201 
3, 202 
-1, 203 
3, 204 
1, 205 
1, 206 
1, 207 
-1, 208 
1, 209 
3, 210 
3, 211 
1, 212 
1, 213 
1, 215 
1, 215 
-1, 216 
1, 217 
1, 218 
-1, 219 
1, 220 
-1, 221 
1, 222 
1, 223 
1, 224 
1, 225 
1, 225 
3, 226 
1, 227 
3, 228 
1, 229 
1, 230 
1, 231 
-1, 232 
1, 233 
1, 234 
1, 240 
-1, 241 
-1, 242 
3, 243 
-1, 244 
1, 246 
1, 246 
-1, 247 
-1, 248 
-1, 249 
3, 250 
1, 251 
1, 252 
-1, 253 
-1, 254 
1, 255 
-1, 256 
1, 257 
1, 258 
1, 258 
-1, 260 
-1, 261 
1, 262 
1, 262 
-1, 264 
-1, 264 
1, 265 
-1, 266 
3, 267 
1, 268 
1, 270 
1, 270 
1, 272 
1, 273 
1, 274 
1, 274 
-1, 276 
3, 276 
-1, 277 
-1, 278 
1, 279 
1, 280 
1, 281 
1, 282 
1, 283 
-1, 284 
1, 285 
3, 286 
1, 287 
-1, 288 
-1, 289 
1, 290 
3, 291 
1, 292 
1, 293 
-1, 294 
1, 294 
1, 295 
1, 296 
1, 297 
-1, 298 
1, 304 
-1, 305 
-1, 306 
-1, 307 
-1, 309 
-1, 309 
-1, 310 
1, 311 
1, 312 
-1, 313 
-1, 314 
-1, 315 
1, 316 
1, 317 
-1, 318 
1, 319 
3, 320 
-1, 321 
1, 322 
-1, 323 
-1, 324 
-51, 325 
1, 335 
1, 336 
1, 337 
1, 337 
-1, 339 
1, 340 
3, 341 
1, 342 
-1, 343 
-1, 344 
1, 345 
-1, 346 
1, 347 
-1, 348 
-1, 349 
-1, 350 
3, 351 
-1, 352 
1, 353 
1, 354 
-1, 355 
1, 356 
-1, 357 
1, 358 
-1, 359 
1, 360 
1, 361 
-1, 361 
-1, 362 
1, 363 
-1, 364 
1, 365 
1, 366 
-1, 367 
-1, 368 
-1, 369 
3, 370 
-1, 371 
1, 372 
1, 373 
-1, 374 
-1, 375 
1, 376 
-1, 377 
3, 378 
3, 379 
-1, 380 
1, 381 
-1, 382 
3, 383 
-1, 384 
1, 385 
1, 386 
3, 387 
-1, 388 
1, 396 
1, 397 
-1, 399 
-1, 399 
-1, 401 
1, 402 
1, 403 
-1, 404 
-1, 405 
3, 406 
-1, 407 
-1, 408 
1, 409 
-1, 410 
3, 411 
-1, 412 
-1, 413 
-1, 414 
1, 415 
-1, 416 
-1, 417 
1, 418 
-1, 419 
-1, 420 
-1, 421 
1, 422 
1, 423 
1, 424 
3, 425 
-1, 426 
-1, 427 
-1, 428 
-1, 429 
-1, 430 
-1, 431 
-1, 432 
