cumulated_reward, time 
-21, 249 
73, 452 
118, 586 
128, 742 
30, 782 
129, 906 
126, 1023 
127, 1139 
140, 1240 
134, 1354 
138, 1454 
29, 1494 
136, 1604 
137, 1709 
135, 1834 
136, 1941 
134, 2035 
136, 2131 
136, 2228 
135, 2328 
136, 2420 
136, 2510 
137, 2599 
135, 2691 
135, 2793 
136, 2894 
134, 2981 
136, 3074 
136, 3163 
134, 3251 
135, 3354 
136, 3439 
136, 3537 
138, 3623 
135, 3712 
135, 3803 
136, 3888 
136, 3991 
136, 4087 
137, 4184 
136, 4278 
134, 4371 
136, 4468 
134, 4572 
136, 4661 
136, 4751 
136, 4851 
