reward, time 
1, 23 
-1, 24 
1, 25 
-1, 25 
1, 26 
1, 27 
-1, 27 
-1, 28 
-1, 29 
1, 29 
1, 30 
1, 31 
-1, 31 
1, 32 
3, 33 
-1, 34 
1, 34 
-1, 35 
1, 36 
-1, 37 
3, 37 
3, 38 
-1, 39 
1, 40 
1, 41 
1, 41 
-1, 42 
-1, 43 
-1, 44 
1, 45 
1, 45 
-1, 46 
1, 47 
1, 48 
-1, 48 
-1, 49 
1, 50 
1, 51 
1, 51 
1, 52 
1, 53 
-1, 53 
1, 54 
-1, 55 
-1, 55 
1, 56 
3, 56 
-1, 57 
1, 58 
-1, 58 
1, 59 
-1, 60 
-1, 61 
-1, 62 
1, 62 
1, 63 
-1, 64 
1, 65 
-1, 65 
-1, 66 
-1, 67 
1, 68 
-1, 68 
3, 69 
1, 70 
3, 71 
1, 71 
1, 72 
1, 73 
-1, 74 
1, 74 
-1, 75 
1, 76 
1, 76 
-1, 77 
1, 78 
-1, 79 
-1, 79 
-1, 80 
1, 81 
-1, 82 
1, 83 
-1, 83 
-1, 84 
1, 85 
1, 85 
1, 86 
1, 87 
1, 88 
1, 89 
1, 89 
-1, 90 
-1, 91 
3, 92 
1, 92 
1, 93 
1, 94 
-1, 94 
1, 95 
1, 96 
1, 97 
1, 97 
1, 98 
-1, 99 
1, 100 
1, 100 
-1, 101 
1, 102 
1, 102 
3, 103 
3, 104 
-1, 105 
1, 106 
1, 106 
1, 107 
-1, 108 
1, 108 
-1, 109 
1, 110 
-1, 110 
1, 111 
1, 112 
1, 113 
1, 113 
3, 114 
1, 115 
3, 116 
3, 116 
-1, 117 
3, 118 
1, 118 
1, 119 
1, 120 
1, 120 
-1, 121 
3, 122 
1, 122 
-1, 123 
1, 124 
-1, 125 
1, 125 
-1, 126 
1, 127 
-1, 128 
-1, 129 
1, 129 
1, 130 
-1, 131 
-1, 132 
-1, 132 
-1, 133 
-1, 134 
1, 135 
-1, 135 
-1, 136 
1, 137 
-1, 138 
-1, 138 
-1, 139 
-1, 140 
-1, 141 
-1, 142 
1, 142 
1, 143 
1, 144 
-1, 144 
1, 145 
-1, 146 
-1, 147 
1, 148 
1, 148 
-1, 149 
1, 150 
1, 151 
1, 152 
1, 152 
1, 153 
-1, 154 
-1, 155 
-1, 156 
-1, 156 
1, 157 
1, 158 
-1, 159 
1, 159 
-1, 160 
1, 161 
-1, 161 
-1, 162 
-1, 163 
-1, 164 
-1, 164 
1, 165 
1, 166 
1, 167 
1, 168 
-1, 168 
-1, 169 
-1, 170 
-1, 171 
-1, 172 
-1, 173 
-1, 173 
-1, 174 
1, 175 
-1, 175 
1, 176 
1, 177 
-1, 177 
1, 178 
-1, 179 
-1, 179 
1, 180 
1, 181 
1, 182 
1, 186 
1, 187 
-1, 188 
1, 188 
-1, 189 
1, 190 
-1, 191 
-1, 191 
-1, 192 
-1, 193 
-1, 193 
-1, 194 
-1, 195 
-1, 196 
1, 196 
-1, 197 
1, 198 
1, 198 
1, 199 
-1, 200 
1, 201 
-1, 201 
-1, 202 
-1, 203 
1, 204 
-1, 204 
-1, 205 
-1, 206 
1, 207 
-1, 208 
-1, 208 
-1, 209 
1, 210 
-1, 211 
1, 211 
-1, 212 
-1, 213 
-1, 214 
1, 215 
-1, 215 
-1, 216 
-1, 217 
1, 218 
1, 218 
1, 219 
-1, 220 
-1, 221 
-1, 221 
-1, 222 
-1, 223 
1, 224 
-1, 225 
-1, 225 
1, 226 
-1, 227 
1, 228 
-1, 229 
1, 229 
-1, 230 
-1, 231 
-1, 232 
-1, 233 
-1, 233 
1, 234 
-1, 235 
1, 235 
-1, 236 
-1, 237 
-1, 238 
-1, 238 
-1, 239 
-1, 240 
-1, 241 
-1, 241 
1, 242 
1, 243 
-1, 244 
1, 245 
-1, 245 
1, 246 
-1, 247 
1, 247 
1, 248 
-51, 249 
1, 256 
3, 257 
-1, 258 
3, 259 
1, 260 
-1, 260 
-1, 261 
3, 262 
3, 262 
3, 263 
1, 264 
1, 265 
-1, 265 
1, 266 
3, 267 
3, 268 
3, 268 
-1, 269 
-1, 270 
3, 271 
1, 272 
3, 272 
3, 273 
1, 274 
3, 275 
1, 276 
1, 276 
-1, 277 
3, 278 
-1, 279 
1, 279 
1, 280 
-1, 281 
1, 281 
1, 282 
3, 283 
3, 283 
1, 284 
3, 285 
3, 286 
1, 286 
-1, 287 
3, 288 
3, 289 
3, 289 
3, 290 
-1, 291 
3, 292 
1, 292 
3, 293 
1, 294 
-1, 295 
-1, 295 
-1, 296 
-1, 297 
3, 298 
3, 299 
3, 301 
1, 302 
-1, 304 
3, 305 
3, 307 
1, 309 
3, 311 
3, 313 
-1, 315 
1, 317 
-1, 319 
3, 321 
-1, 324 
-1, 326 
1, 329 
1, 331 
1, 333 
3, 334 
1, 335 
3, 337 
3, 339 
3, 340 
1, 347 
-1, 348 
-1, 349 
1, 350 
1, 351 
1, 352 
-1, 353 
-1, 354 
1, 354 
-1, 355 
1, 356 
-1, 357 
1, 358 
1, 359 
1, 360 
1, 361 
1, 363 
1, 364 
-1, 365 
1, 366 
1, 367 
-1, 368 
1, 368 
-1, 369 
-1, 374 
1, 375 
1, 375 
-1, 376 
-1, 377 
1, 378 
-1, 379 
-1, 380 
-1, 381 
1, 381 
1, 382 
-1, 383 
1, 384 
1, 385 
1, 386 
-1, 386 
-1, 387 
1, 388 
-1, 388 
1, 390 
1, 391 
1, 392 
-1, 392 
-1, 393 
1, 394 
1, 395 
-1, 396 
1, 397 
-1, 398 
-1, 402 
-1, 403 
-1, 404 
1, 404 
1, 409 
1, 410 
-1, 411 
-1, 412 
1, 413 
1, 414 
1, 415 
-1, 415 
-1, 416 
1, 417 
-1, 418 
-1, 418 
1, 419 
1, 420 
1, 420 
1, 421 
1, 422 
1, 423 
1, 424 
1, 424 
1, 425 
1, 426 
-1, 427 
1, 428 
1, 429 
-1, 429 
1, 430 
-1, 431 
-1, 432 
1, 433 
-1, 434 
-1, 435 
-1, 439 
1, 439 
1, 440 
-1, 441 
-1, 442 
-1, 443 
1, 443 
1, 444 
1, 445 
1, 446 
-1, 447 
-1, 448 
-1, 449 
1, 450 
-1, 450 
1, 451 
-49, 452 
3, 460 
3, 461 
3, 462 
3, 463 
-1, 463 
1, 464 
3, 465 
3, 466 
1, 466 
3, 467 
1, 468 
1, 469 
3, 470 
1, 471 
-1, 471 
1, 472 
3, 473 
3, 474 
-1, 475 
1, 476 
-1, 476 
-1, 477 
3, 478 
3, 479 
-1, 480 
1, 481 
1, 481 
3, 482 
3, 483 
3, 484 
3, 485 
3, 486 
1, 486 
1, 487 
3, 488 
3, 489 
3, 490 
3, 490 
3, 491 
1, 492 
3, 493 
-1, 494 
3, 495 
-1, 496 
1, 496 
3, 497 
1, 498 
1, 499 
3, 500 
-1, 501 
3, 502 
3, 502 
-1, 503 
-1, 504 
3, 505 
-1, 506 
3, 507 
3, 507 
1, 508 
3, 509 
3, 510 
3, 511 
3, 512 
3, 513 
1, 513 
-1, 514 
3, 515 
-1, 516 
1, 517 
1, 518 
1, 518 
1, 519 
-1, 520 
1, 521 
1, 521 
1, 522 
1, 523 
-1, 524 
1, 525 
-1, 526 
1, 526 
1, 527 
1, 528 
-1, 529 
1, 530 
-1, 531 
1, 531 
1, 532 
1, 533 
1, 534 
1, 535 
1, 535 
1, 536 
1, 537 
-1, 538 
1, 538 
1, 539 
1, 540 
1, 541 
1, 541 
1, 542 
1, 543 
1, 543 
1, 544 
1, 545 
1, 546 
1, 547 
1, 548 
1, 549 
1, 550 
1, 551 
-1, 551 
1, 552 
1, 553 
1, 554 
1, 555 
1, 556 
1, 557 
-1, 558 
1, 559 
1, 560 
1, 560 
1, 561 
1, 562 
1, 563 
-1, 564 
1, 565 
1, 566 
1, 567 
1, 568 
-1, 568 
1, 569 
-1, 570 
1, 570 
1, 571 
-1, 575 
1, 576 
1, 577 
1, 578 
1, 579 
1, 580 
1, 580 
1, 581 
1, 582 
-1, 583 
1, 584 
1, 585 
-49, 586 
-1, 594 
3, 595 
3, 596 
3, 597 
3, 598 
3, 599 
1, 599 
3, 600 
3, 601 
-1, 602 
1, 603 
-1, 604 
-1, 605 
3, 606 
1, 606 
3, 611 
3, 612 
-1, 613 
3, 614 
3, 615 
3, 616 
3, 617 
3, 618 
-1, 619 
3, 624 
1, 625 
1, 625 
3, 626 
3, 627 
-1, 628 
3, 629 
3, 630 
3, 631 
1, 631 
3, 632 
3, 633 
3, 634 
3, 635 
1, 636 
-1, 636 
3, 637 
-1, 638 
3, 639 
3, 640 
-1, 641 
3, 642 
3, 643 
3, 643 
3, 644 
3, 645 
3, 646 
3, 647 
1, 647 
3, 648 
3, 649 
-1, 650 
-1, 651 
-1, 652 
1, 657 
-1, 658 
3, 659 
1, 659 
1, 660 
1, 661 
3, 662 
3, 663 
-1, 664 
1, 665 
1, 666 
3, 666 
3, 667 
-1, 668 
1, 669 
3, 670 
1, 671 
3, 672 
3, 673 
1, 673 
1, 674 
1, 675 
1, 676 
1, 677 
1, 678 
1, 678 
-1, 679 
1, 680 
1, 681 
-1, 682 
-1, 683 
1, 684 
1, 685 
-1, 686 
1, 687 
-1, 688 
1, 688 
1, 689 
1, 690 
1, 691 
1, 692 
-1, 693 
1, 694 
1, 695 
1, 696 
1, 697 
1, 698 
1, 698 
1, 699 
1, 700 
-1, 701 
1, 702 
1, 703 
1, 703 
1, 704 
1, 705 
1, 706 
-1, 707 
-1, 708 
1, 709 
-1, 715 
1, 716 
1, 717 
1, 717 
1, 718 
1, 719 
1, 720 
1, 721 
1, 722 
1, 723 
1, 724 
1, 725 
1, 725 
1, 726 
1, 727 
1, 728 
1, 729 
-1, 730 
1, 731 
1, 731 
1, 732 
1, 733 
1, 734 
1, 735 
1, 736 
-1, 737 
1, 738 
-1, 738 
-1, 739 
-1, 740 
1, 741 
-49, 742 
3, 751 
3, 752 
3, 753 
3, 759 
3, 760 
-1, 761 
3, 762 
3, 764 
3, 765 
3, 766 
3, 767 
1, 768 
3, 769 
3, 770 
1, 777 
-7, 782 
1, 790 
-1, 791 
3, 792 
-1, 793 
-1, 793 
-1, 794 
3, 795 
1, 796 
1, 797 
3, 798 
3, 799 
1, 800 
3, 800 
3, 801 
3, 807 
3, 808 
3, 809 
3, 810 
1, 811 
3, 817 
3, 818 
-1, 818 
3, 819 
3, 820 
3, 821 
3, 822 
3, 823 
3, 824 
3, 825 
3, 825 
1, 826 
3, 827 
3, 828 
3, 829 
3, 830 
3, 830 
3, 831 
3, 832 
-1, 833 
3, 834 
3, 835 
3, 835 
3, 836 
1, 837 
3, 838 
3, 839 
-1, 839 
3, 840 
3, 841 
3, 842 
3, 843 
3, 844 
-1, 844 
-1, 845 
3, 846 
3, 847 
3, 848 
3, 849 
1, 850 
1, 851 
1, 851 
1, 852 
1, 853 
-1, 854 
1, 855 
1, 856 
1, 856 
1, 857 
1, 858 
1, 859 
1, 860 
1, 861 
1, 861 
-1, 862 
1, 863 
1, 864 
1, 865 
1, 866 
-1, 867 
1, 867 
1, 868 
1, 869 
1, 870 
1, 870 
1, 871 
1, 872 
1, 873 
1, 874 
