cumulated_reward, epsilon 
125, 1.0 
66, 0.99 
69, 0.99 
137, 0.99 
138, 0.98 
135, 0.98 
134, 0.97 
144, 0.97 
145, 0.96 
141, 0.96 
165, 0.95 
159, 0.95 
278, 0.94 
171, 0.94 
147, 0.93 
147, 0.93 
144, 0.92 
158, 0.92 
78, 0.91 
-92, 0.91 
146, 0.9 
172, 0.9 
174, 0.9 
260, 0.89 
151, 0.89 
155, 0.88 
161, 0.88 
161, 0.87 
145, 0.87 
154, 0.86 
163, 0.86 
142, 0.86 
155, 0.85 
145, 0.85 
146, 0.84 
158, 0.84 
149, 0.83 
138, 0.83 
80, 0.83 
-11, 0.82 
161, 0.82 
148, 0.81 
143, 0.81 
141, 0.81 
-94, 0.8 
101, 0.8 
145, 0.79 
81, 0.79 
159, 0.79 
139, 0.78 
165, 0.78 
143, 0.77 
145, 0.77 
147, 0.77 
81, 0.76 
158, 0.76 
163, 0.76 
273, 0.75 
176, 0.75 
162, 0.74 
161, 0.74 
146, 0.74 
162, 0.73 
162, 0.73 
150, 0.73 
144, 0.72 
161, 0.72 
146, 0.71 
-52, 0.71 
156, 0.71 
151, 0.7 
162, 0.7 
148, 0.7 
158, 0.69 
-7, 0.69 
164, 0.69 
159, 0.68 
110, 0.68 
-9, 0.68 
160, 0.67 
141, 0.67 
141, 0.67 
514, 0.66 
152, 0.66 
415, 0.66 
160, 0.65 
146, 0.65 
-3, 0.65 
145, 0.64 
160, 0.64 
146, 0.64 
156, 0.63 
148, 0.63 
292, 0.63 
-29, 0.62 
149, 0.62 
185, 0.62 
174, 0.61 
146, 0.61 
138, 0.61 
146, 0.61 
152, 0.6 
167, 0.6 
143, 0.6 
169, 0.59 
141, 0.59 
284, 0.59 
161, 0.58 
145, 0.58 
148, 0.58 
150, 0.58 
145, 0.57 
141, 0.57 
153, 0.57 
146, 0.56 
161, 0.56 
147, 0.56 
-38, 0.56 
149, 0.55 
161, 0.55 
144, 0.55 
146, 0.55 
141, 0.54 
144, 0.54 
158, 0.54 
146, 0.53 
162, 0.53 
141, 0.53 
147, 0.53 
179, 0.52 
146, 0.52 
141, 0.52 
159, 0.52 
145, 0.51 
159, 0.51 
155, 0.51 
141, 0.51 
147, 0.5 
147, 0.5 
142, 0.5 
-13, 0.5 
170, 0.49 
145, 0.49 
174, 0.49 
12, 0.49 
-9, 0.48 
146, 0.48 
180, 0.48 
142, 0.48 
144, 0.47 
164, 0.47 
156, 0.47 
159, 0.47 
149, 0.46 
149, 0.46 
189, 0.46 
169, 0.46 
160, 0.46 
155, 0.45 
173, 0.45 
146, 0.45 
159, 0.45 
144, 0.44 
138, 0.44 
174, 0.44 
-40, 0.44 
40, 0.44 
147, 0.43 
147, 0.43 
158, 0.43 
141, 0.43 
-9, 0.42 
