cumulated_reward, time
3309, 603
-48, 618
459, 693
465, 774
386, 834
395, 896
368, 954
407, 1024
353, 1083
247, 1128
329, 1184
342, 1243
320, 1297
323, 1349
-79, 1357
321, 1414
341, 1475
343, 1534
344, 1591
364, 1654
327, 1709
333, 1769
337, 1828
323, 1881
355, 1941
337, 1999
329, 2056
374, 2121
125, 2159
323, 2213
324, 2269
323, 2324
341, 2381
328, 2438
330, 2495
332, 2555
344, 2613
236, 2656
340, 2714
334, 2769
336, 2823
324, 2881
348, 2943
-100, 2948
341, 3003
355, 3067
337, 3123
345, 3180
336, 3235
328, 3288
344, 3344
365, 3402
355, 3460
333, 3516
345, 3576
362, 3637
343, 3696
38, 3723
361, 3791
342, 3848
321, 3902
338, 3959
348, 4024
336, 4079
338, 4137
335, 4193
350, 4250
338, 4306
342, 4364
330, 4421
320, 4476
106, 4510
339, 4566
336, 4622
200, 4661
373, 4724
354, 4782
337, 4840
332, 4895
336, 4954
330, 5008
336, 5065
326, 5118
327, 5177
329, 5231
324, 5289
-88, 5295
339, 5352
328, 5407
332, 5460
324, 5516
320, 5570
324, 5624
347, 5680
339, 5740
336, 5798
329, 5855
328, 5913
323, 5975
341, 6033
189, 6081
338, 6142
322, 6197
325, 6255
323, 6308
348, 6368
342, 6425
320, 6477
327, 6531
327, 6585
339, 6641
315, 6695
347, 6749
336, 6804
237, 6858
338, 6914
342, 6973
344, 7032
331, 7084
323, 7136
378, 7197
337, 7252
366, 7314
331, 7366
336, 7420
340, 7475
323, 7524
340, 7576
129, 7613
345, 7667
357, 7722
329, 7772
320, 7826
360, 7883
337, 7936
381, 7995
332, 8047
294, 8099
343, 8150
327, 8202
326, 8251
340, 8306
141, 8347
341, 8399
328, 8453
336, 8507
327, 8558
320, 8609
328, 8663
328, 8717
350, 8774
343, 8828
347, 8883
323, 8934
366, 8994
332, 9046
145, 9084
350, 9146
324, 9199
323, 9254
327, 9310
337, 9366
334, 9420
345, 9474
330, 9525
341, 9576
318, 9626
336, 9671
348, 9722
344, 9765
145, 9797
331, 9846
328, 9897
332, 9952
343, 10057
340, 10113
359, 10171
354, 10228
351, 10286
331, 10338
344, 10396
338, 10453
336, 10507
335, 10560
91, 10591
365, 10650
340, 10710
339, 10785
355, 10846
365, 10903
346, 10959
329, 11009
328, 11059
344, 11110
339, 11162
342, 11217
339, 11268
334, 11322
57, 11351
323, 11405
331, 11458
268, 11506
347, 11558
320, 11610
328, 11663
358, 11721
332, 11776
335, 11828
331, 11879
326, 11928
327, 11979
188, 12015
335, 12066
22, 12088
341, 12143
328, 12193
327, 12245
339, 12296
344, 12350
350, 12402
332, 12455
323, 12503
353, 12557
336, 12610
325, 12669
331, 12725
357, 12783
111, 12819
344, 12873
324, 12925
329, 12981
345, 13038
327, 13092
342, 13149
343, 13202
333, 13253
333, 13306
345, 13358
335, 13410
336, 13463
341, 13515
113, 13549
331, 13599
348, 13652
339, 13703
324, 13753
351, 13807
343, 13859
324, 13910
346, 13964
345, 14019
335, 14072
333, 14124
344, 14176
331, 14230
130, 14266
327, 14315
328, 14369
332, 14422
321, 14473
339, 14527
340, 14580
335, 14632
343, 14686
338, 14741
328, 14791
342, 14845
374, 14904
331, 14954
120, 14988
343, 15039
334, 15090
334, 15141
330, 15194
357, 15248
366, 15306
337, 15360
324, 15409
356, 15465
357, 15521
351, 15578
328, 15629
346, 15683
75, 15716
343, 15769
340, 15823
345, 15877
323, 15928
319, 15977
325, 16029
376, 16089
333, 16142
337, 16195
324, 16247
335, 16297
344, 16350
354, 16403
146, 16443
331, 16495
337, 16547
338, 16600
323, 16648
355, 16703
366, 16761
319, 16809
331, 16861
320, 16913
332, 16964
336, 17015
365, 17072
371, 17130
141, 17168
335, 17221
323, 17272
353, 17326
332, 17378
328, 17429
326, 17479
351, 17535
348, 17590
324, 17640
327, 17691
324, 17742
336, 17797
334, 17849
144, 17886
336, 17944
323, 17993
336, 18046
330, 18096
321, 18144
459, 18198
344, 18251
324, 18301
331, 18353
332, 18407
337, 18463
332, 18513
340, 18566
153, 18603
323, 18652
336, 18704
344, 18756
336, 18809
289, 18860
331, 18911
346, 18964
365, 19022
319, 19072
346, 19126
370, 19180
331, 19230
336, 19283
171, 19327
333, 19379
327, 19431
347, 19489
331, 19539
339, 19590
332, 19644
336, 19694
345, 19746
328, 19799
338, 19852
338, 19904
347, 19956
355, 20012
115, 20047
337, 20097
322, 20150
339, 20204
325, 20253
339, 20306
325, 20354
335, 20404
338, 20459
332, 20514
340, 20566
328, 20618
324, 20669
336, 20719
177, 20760
354, 20816
323, 20866
349, 20920
344, 20974
333, 21024
370, 21082
333, 21134
346, 21187
333, 21240
357, 21296
332, 21352
331, 21406
335, 21458
101, 21492
369, 21549
339, 21601
338, 21655
346, 21709
339, 21761
342, 21818
328, 21869
328, 21924
345, 21978
323, 22028
323, 22077
331, 22130
325, 22181
129, 22219
329, 22271
323, 22322
326, 22374
353, 22427
331, 22477
338, 22532
318, 22583
343, 22640
326, 22692
331, 22746
330, 22801
325, 22853
312, 22906
256, 22949
-70, 22958
331, 23012
334, 23062
334, 23112
349, 23171
332, 23222
334, 23273
327, 23324
235, 23361
336, 23414
324, 23465
338, 23516
326, 23566
335, 23618
333, 23671
-99, 23675
350, 23729
338, 23778
328, 23830
384, 23890
329, 23944
324, 23994
332, 24045
319, 24098
336, 24150
328, 24202
334, 24250
337, 24302
