reward, time 
1, 9 
1, 10 
1, 11 
-1, 12 
-1, 13 
-1, 14 
1, 15 
-1, 16 
1, 17 
1, 18 
1, 19 
1, 20 
-1, 21 
-1, 22 
-1, 23 
1, 24 
1, 25 
3, 26 
1, 26 
3, 28 
1, 29 
1, 30 
1, 31 
3, 32 
-1, 33 
1, 34 
-1, 35 
-1, 36 
1, 37 
1, 38 
3, 40 
3, 41 
3, 42 
3, 43 
-1, 44 
3, 45 
1, 46 
-1, 47 
-1, 48 
1, 49 
1, 50 
-1, 51 
1, 52 
-1, 53 
1, 54 
-1, 55 
-1, 56 
-1, 57 
-1, 58 
-1, 59 
-1, 60 
1, 61 
1, 61 
-1, 62 
-1, 63 
-1, 64 
1, 65 
-1, 66 
-1, 67 
1, 68 
-1, 69 
1, 70 
1, 71 
-1, 72 
-1, 73 
1, 74 
1, 75 
1, 76 
-1, 77 
-1, 78 
-1, 79 
1, 80 
1, 80 
-1, 81 
-1, 82 
3, 83 
1, 84 
3, 85 
1, 86 
1, 87 
1, 88 
1, 89 
-1, 90 
-1, 91 
3, 92 
-1, 93 
-1, 94 
-1, 95 
3, 96 
-1, 97 
-1, 98 
1, 99 
-1, 100 
-1, 101 
1, 102 
-1, 103 
1, 104 
3, 105 
1, 106 
-1, 107 
-1, 108 
1, 109 
3, 110 
-1, 111 
1, 112 
1, 114 
1, 114 
1, 116 
-1, 117 
-1, 118 
3, 119 
-1, 120 
1, 121 
1, 122 
-1, 123 
3, 125 
-1, 126 
1, 127 
1, 128 
-1, 129 
-1, 130 
1, 132 
1, 133 
1, 134 
-1, 135 
3, 136 
3, 137 
-1, 138 
-1, 139 
1, 140 
1, 141 
1, 142 
1, 143 
3, 145 
-1, 145 
1, 146 
1, 147 
1, 148 
-1, 149 
1, 150 
1, 151 
3, 153 
-1, 154 
-1, 154 
1, 155 
1, 156 
1, 157 
1, 158 
-1, 159 
-1, 160 
-1, 161 
1, 162 
-1, 163 
1, 164 
-1, 165 
-1, 166 
1, 167 
3, 168 
1, 170 
-1, 171 
1, 172 
1, 173 
-1, 174 
1, 175 
-1, 176 
-1, 176 
-1, 177 
3, 178 
3, 179 
3, 180 
-1, 181 
3, 182 
1, 183 
1, 184 
1, 185 
1, 187 
3, 188 
-1, 189 
-1, 189 
1, 190 
1, 191 
1, 192 
1, 193 
1, 194 
1, 195 
-1, 196 
-1, 197 
1, 198 
1, 199 
-1, 200 
-1, 201 
1, 202 
1, 203 
1, 203 
1, 211 
1, 211 
-1, 212 
1, 213 
-1, 214 
1, 215 
1, 217 
-1, 218 
-1, 219 
-1, 219 
-1, 220 
3, 227 
1, 228 
1, 229 
-1, 231 
-1, 232 
-1, 233 
-1, 234 
-1, 235 
-1, 236 
3, 237 
1, 238 
-1, 239 
-1, 240 
-1, 241 
-1, 242 
1, 243 
-1, 244 
1, 245 
1, 246 
1, 247 
3, 248 
1, 249 
3, 250 
1, 251 
1, 252 
1, 253 
3, 254 
1, 255 
1, 257 
1, 258 
1, 259 
1, 259 
1, 260 
1, 262 
1, 263 
-1, 263 
3, 264 
1, 265 
-1, 266 
-1, 267 
1, 268 
1, 269 
1, 271 
-1, 272 
-1, 273 
1, 274 
-1, 275 
-1, 276 
3, 277 
3, 278 
3, 279 
1, 280 
1, 281 
1, 282 
-1, 283 
1, 284 
1, 285 
-1, 287 
1, 288 
1, 289 
1, 290 
-1, 291 
-1, 292 
1, 293 
1, 294 
1, 295 
1, 296 
3, 298 
1, 299 
1, 300 
-1, 301 
-1, 302 
-1, 303 
-1, 304 
1, 305 
-1, 306 
1, 307 
3, 308 
3, 309 
1, 311 
-1, 312 
1, 313 
-1, 314 
1, 315 
1, 316 
1, 317 
-1, 318 
1, 319 
1, 320 
-1, 321 
1, 322 
-1, 323 
1, 324 
-49, 325 
3, 336 
-1, 337 
1, 338 
3, 339 
3, 340 
3, 341 
-1, 342 
-1, 343 
3, 344 
-1, 345 
3, 346 
3, 347 
-1, 348 
1, 349 
1, 350 
1, 351 
-1, 352 
1, 354 
1, 355 
1, 356 
1, 357 
-1, 359 
3, 360 
1, 361 
3, 362 
1, 363 
3, 365 
1, 366 
-1, 367 
3, 368 
3, 369 
1, 370 
3, 372 
-1, 373 
3, 374 
3, 375 
1, 376 
3, 377 
3, 378 
3, 379 
3, 380 
3, 381 
3, 382 
3, 384 
3, 385 
3, 386 
1, 387 
-1, 388 
3, 389 
1, 397 
3, 398 
-1, 399 
3, 400 
3, 401 
-1, 402 
1, 403 
-1, 405 
-1, 406 
3, 407 
-1, 408 
3, 409 
1, 410 
1, 411 
3, 412 
-1, 414 
-1, 415 
3, 416 
3, 424 
1, 426 
3, 427 
-1, 428 
3, 430 
1, 431 
1, 432 
3, 433 
1, 434 
-1, 435 
1, 436 
1, 437 
3, 438 
3, 440 
-1, 441 
-1, 442 
3, 443 
1, 444 
3, 446 
-1, 447 
3, 448 
3, 450 
-1, 451 
1, 452 
1, 453 
3, 454 
1, 455 
-1, 456 
3, 457 
-1, 458 
1, 460 
1, 460 
1, 461 
3, 463 
1, 464 
3, 465 
3, 466 
3, 467 
-1, 468 
1, 470 
1, 471 
-1, 472 
1, 473 
-1, 474 
3, 475 
1, 476 
1, 477 
3, 478 
1, 479 
-1, 480 
1, 481 
1, 483 
1, 484 
1, 484 
3, 485 
1, 486 
-1, 487 
3, 489 
-1, 489 
1, 490 
3, 491 
3, 493 
-1, 493 
3, 494 
3, 495 
1, 496 
1, 503 
-1, 505 
3, 506 
3, 507 
3, 508 
1, 509 
1, 510 
3, 511 
-1, 512 
3, 514 
1, 515 
-1, 516 
1, 518 
-1, 519 
1, 520 
3, 522 
3, 523 
1, 525 
-1, 526 
3, 528 
1, 530 
3, 531 
3, 533 
-1, 549 
-1, 550 
3, 552 
3, 552 
1, 554 
3, 556 
3, 557 
-1, 559 
1, 560 
1, 562 
-1, 563 
-1, 564 
-1, 566 
1, 567 
-1, 568 
3, 570 
3, 571 
1, 572 
3, 573 
1, 574 
1, 575 
3, 576 
3, 577 
-1, 578 
3, 580 
1, 581 
3, 582 
3, 583 
-1, 585 
1, 586 
3, 593 
1, 594 
3, 595 
3, 596 
3, 597 
1, 599 
3, 600 
-1, 601 
-1, 603 
-1, 604 
3, 605 
1, 606 
-1, 607 
-1, 608 
1, 609 
3, 610 
3, 611 
-1, 613 
1, 614 
-1, 615 
1, 616 
3, 617 
-1, 618 
-1, 619 
-1, 620 
-1, 621 
3, 623 
1, 624 
-1, 625 
3, 626 
3, 627 
1, 628 
1, 629 
-1, 631 
3, 632 
1, 633 
3, 634 
-1, 635 
