reward, time 
1, 28 
-1, 29 
1, 29 
3, 30 
1, 31 
3, 32 
1, 32 
3, 33 
1, 34 
1, 35 
1, 35 
-1, 36 
-1, 37 
1, 38 
-1, 38 
1, 39 
-1, 40 
-1, 40 
3, 41 
-1, 42 
-1, 43 
1, 43 
-1, 44 
-1, 45 
1, 45 
-1, 46 
3, 47 
1, 48 
-1, 49 
-1, 49 
-1, 50 
-1, 51 
3, 51 
-1, 52 
-1, 53 
1, 53 
-1, 54 
-1, 54 
1, 55 
-1, 56 
1, 57 
-1, 57 
3, 58 
-1, 59 
3, 59 
-1, 60 
-1, 60 
-1, 61 
1, 62 
3, 63 
-1, 63 
1, 64 
1, 65 
1, 66 
1, 66 
-1, 67 
-1, 68 
1, 68 
1, 69 
-1, 70 
1, 71 
1, 71 
1, 72 
1, 73 
-1, 73 
1, 74 
-1, 75 
1, 75 
1, 76 
3, 77 
-1, 78 
1, 78 
1, 79 
1, 80 
3, 80 
3, 81 
1, 82 
1, 83 
-1, 83 
-1, 84 
1, 85 
1, 85 
1, 86 
3, 87 
-1, 87 
-1, 88 
-1, 89 
-1, 89 
-1, 90 
1, 91 
3, 92 
-1, 92 
3, 93 
-1, 94 
-1, 94 
1, 95 
1, 96 
-1, 96 
-1, 97 
3, 98 
-1, 98 
1, 99 
3, 100 
1, 101 
-1, 101 
1, 102 
1, 103 
3, 103 
-1, 104 
1, 105 
1, 105 
3, 106 
-1, 107 
1, 108 
1, 108 
1, 109 
1, 110 
-1, 110 
1, 111 
-1, 112 
1, 112 
1, 113 
-1, 114 
-1, 115 
-1, 115 
3, 116 
1, 117 
1, 117 
3, 118 
1, 118 
3, 119 
-1, 120 
1, 121 
1, 121 
-1, 122 
-1, 123 
-1, 123 
1, 124 
-1, 125 
-1, 125 
-1, 126 
1, 127 
-1, 128 
-1, 129 
-1, 129 
1, 130 
1, 130 
-1, 131 
-1, 132 
-1, 132 
-1, 133 
-1, 134 
-1, 134 
-1, 135 
-1, 136 
-1, 136 
-1, 137 
1, 138 
1, 139 
1, 140 
-1, 140 
-1, 141 
-1, 142 
-1, 142 
1, 143 
1, 144 
-1, 144 
-1, 145 
1, 146 
-1, 147 
1, 147 
-1, 148 
1, 149 
-1, 149 
-1, 150 
-1, 151 
1, 151 
-1, 152 
-1, 153 
1, 156 
-1, 157 
1, 158 
-1, 159 
-1, 159 
-1, 160 
1, 161 
1, 162 
1, 163 
-1, 163 
-1, 164 
-1, 165 
-1, 165 
-1, 166 
-1, 167 
-1, 168 
-1, 168 
-1, 169 
-1, 170 
1, 170 
-1, 171 
1, 172 
-1, 173 
-1, 173 
-1, 174 
-1, 175 
-1, 175 
-1, 176 
-1, 176 
-1, 177 
-1, 178 
-1, 179 
1, 179 
1, 180 
1, 181 
1, 182 
-1, 183 
-1, 183 
1, 184 
-1, 185 
-1, 185 
-1, 186 
-1, 187 
1, 188 
1, 188 
-1, 189 
-1, 190 
1, 191 
-1, 192 
-1, 192 
1, 193 
-1, 194 
-1, 195 
1, 195 
-1, 196 
1, 197 
-1, 198 
1, 199 
-1, 200 
-1, 201 
1, 201 
-1, 202 
-1, 203 
1, 204 
-1, 205 
1, 205 
-1, 206 
-1, 207 
-1, 208 
1, 208 
1, 209 
-1, 210 
-1, 211 
-1, 211 
1, 212 
-1, 213 
1, 214 
-1, 214 
1, 215 
1, 216 
-1, 217 
-1, 217 
-1, 218 
1, 219 
-1, 220 
-1, 220 
1, 221 
-1, 222 
-1, 222 
-1, 223 
1, 224 
1, 225 
1, 226 
-1, 226 
-1, 227 
1, 228 
1, 229 
1, 229 
-1, 230 
-1, 231 
-1, 232 
1, 232 
1, 233 
1, 234 
1, 234 
1, 235 
-1, 236 
-1, 237 
-1, 237 
-1, 238 
-1, 239 
-1, 239 
1, 240 
-1, 241 
-1, 242 
1, 242 
-1, 243 
-1, 244 
1, 244 
-51, 245 
-1, 252 
-1, 253 
3, 257 
-1, 257 
1, 258 
-1, 259 
3, 260 
1, 260 
3, 261 
3, 262 
1, 263 
1, 263 
3, 264 
1, 265 
1, 265 
1, 266 
3, 267 
1, 268 
1, 268 
-1, 269 
3, 270 
1, 270 
1, 271 
-1, 272 
3, 273 
1, 273 
3, 274 
-1, 275 
-1, 275 
1, 276 
-1, 277 
1, 277 
3, 278 
3, 279 
1, 280 
3, 281 
3, 281 
3, 282 
1, 283 
-1, 283 
3, 284 
3, 284 
3, 285 
-1, 286 
1, 286 
1, 287 
-1, 288 
3, 289 
1, 289 
1, 290 
1, 291 
3, 292 
3, 292 
-1, 293 
3, 294 
1, 295 
-1, 295 
3, 296 
1, 297 
1, 298 
-1, 299 
3, 299 
1, 300 
3, 301 
3, 302 
1, 302 
1, 303 
1, 304 
3, 304 
1, 305 
3, 306 
1, 307 
1, 307 
3, 308 
3, 309 
3, 309 
1, 313 
1, 314 
1, 314 
1, 315 
1, 315 
-1, 319 
1, 320 
1, 320 
1, 321 
1, 322 
1, 322 
1, 323 
-1, 324 
1, 324 
-1, 325 
1, 326 
1, 326 
-1, 327 
-1, 328 
-1, 329 
1, 329 
-1, 330 
1, 331 
1, 331 
1, 332 
-1, 333 
1, 337 
1, 338 
1, 338 
1, 339 
1, 340 
1, 340 
-1, 341 
1, 341 
-1, 342 
-1, 343 
1, 344 
1, 344 
1, 345 
-1, 346 
1, 347 
1, 347 
1, 348 
-1, 348 
1, 349 
-1, 350 
-1, 351 
12, 357 
1, 358 
1, 359 
-1, 359 
-1, 360 
1, 361 
1, 362 
1, 363 
1, 363 
1, 364 
10, 366 
-9, 366 
-1, 394 
3, 395 
3, 396 
3, 396 
1, 397 
3, 398 
3, 399 
-1, 399 
3, 400 
3, 401 
3, 401 
-1, 402 
3, 403 
3, 403 
3, 404 
3, 405 
3, 405 
3, 406 
3, 407 
3, 408 
3, 408 
1, 409 
1, 409 
3, 410 
3, 411 
3, 412 
3, 412 
-1, 413 
3, 414 
1, 414 
-1, 415 
3, 416 
3, 416 
3, 417 
1, 418 
1, 419 
3, 419 
1, 420 
1, 421 
1, 421 
-1, 422 
-1, 422 
1, 423 
3, 424 
1, 424 
1, 425 
3, 426 
-1, 427 
1, 427 
-1, 428 
1, 429 
1, 429 
1, 430 
3, 431 
3, 435 
1, 435 
3, 436 
-1, 437 
1, 437 
1, 438 
-1, 438 
3, 439 
3, 440 
3, 440 
-1, 441 
3, 442 
3, 442 
1, 443 
3, 447 
1, 447 
3, 448 
3, 449 
1, 449 
1, 450 
1, 451 
1, 451 
1, 452 
1, 453 
1, 453 
1, 454 
-1, 455 
1, 456 
1, 456 
1, 457 
1, 458 
1, 459 
1, 459 
-1, 460 
-1, 461 
1, 462 
-1, 462 
1, 463 
-1, 464 
-1, 464 
-1, 465 
1, 466 
1, 467 
1, 467 
-1, 468 
1, 469 
-1, 470 
-1, 470 
1, 471 
1, 472 
-1, 472 
1, 473 
-1, 474 
1, 474 
-9, 475 
-1, 502 
1, 503 
1, 503 
3, 504 
1, 505 
1, 505 
3, 506 
3, 507 
3, 508 
1, 509 
3, 509 
3, 510 
3, 510 
3, 511 
3, 512 
-1, 513 
3, 513 
1, 514 
3, 515 
-1, 515 
3, 516 
3, 517 
3, 517 
1, 518 
3, 519 
3, 520 
-1, 521 
3, 522 
3, 523 
3, 523 
1, 524 
3, 525 
3, 526 
-1, 526 
3, 527 
3, 528 
3, 529 
-1, 529 
3, 530 
1, 531 
1, 531 
3, 532 
3, 533 
3, 534 
3, 534 
3, 535 
1, 535 
1, 536 
3, 537 
3, 538 
-1, 539 
3, 539 
1, 540 
1, 541 
-47, 542 
3, 547 
3, 548 
-1, 548 
3, 549 
3, 550 
1, 551 
3, 551 
3, 552 
-1, 553 
3, 553 
3, 554 
3, 555 
3, 555 
3, 556 
3, 557 
3, 557 
-1, 558 
3, 559 
-1, 560 
3, 560 
1, 561 
1, 562 
